gap,method,rmse,gap_score
1d,nearest,0.08514,4.46
1d,linear,0.07422,7.73
1d,seasonal,0.07305,8.09
1d,gbm,0.06898,9.31
1d,temporal,0.07604,7.19
1d,ensemble,0.0654,10.38
2d,nearest,0.08858,3.43
2d,linear,0.07296,8.11
2d,seasonal,0.0797,6.09
2d,gbm,0.06934,9.2
2d,temporal,0.07415,7.76
2d,ensemble,0.0678,9.66
3d,nearest,0.09576,1.27
3d,linear,0.07159,8.52
3d,seasonal,0.07823,6.53
3d,gbm,0.0686,9.42
3d,temporal,0.07148,8.56
3d,ensemble,0.06631,10.11
7d,nearest,0.12371,0.0
7d,linear,0.08983,3.05
7d,seasonal,0.10135,0.0
7d,gbm,0.08227,5.32
7d,temporal,0.08586,4.24
7d,ensemble,0.08479,4.56
14d,nearest,0.18167,0.0
14d,linear,0.10446,0.0
14d,seasonal,0.10828,0.0
14d,gbm,0.09937,0.19
14d,temporal,0.09834,0.5
14d,ensemble,0.09717,0.85
30d,nearest,0.22488,0.0
30d,linear,0.14112,0.0
30d,seasonal,0.13891,0.0
30d,gbm,0.13168,0.0
30d,temporal,0.12992,0.0
30d,ensemble,0.13165,0.0
